ID,Name,Gender,Age,OverAllRating,ReviewType,ReviewTitle,Benefits,Money,Experience,Purchase,claimsProcess,SpeedResolution,Fairness,ReviewDate,Review,Recommend,ColCount,,,,
1,spinney,Female,45 to 54,5,Claim review,a very happy customer,NA,NA,5,NA,5,5,5,22/04/2014,Excellent service my claim was dealt with very swiftly without any hassle.,I would recommend  to a friend,18,,,,
2,Shaurline,Female,65 or over,5,Claim review,Excellent service,NA,NA,5,NA,5,5,5,22/04/2014,Very sympathetically dealt within all aspects of a very distressing happening. No arguing or haggling relating to the theft of various items.,I would recommend  to a friend,18,,,,
3,burstpipe46,Female,55 to 64,5,Buyer review,Brilliant product and value for money.,5,5,5,5,NA,NA,NA,22/04/2014,"Having received yet another ludicrous quote from our previous insurer of over 25 years loyalty I looked at  having had the superb experience of their assistance via travel insurance while abroad. I was amazed and delighted by the quality of the offered products - both buildings and contents cover.
The range of cover is excellent and it can be tailored to be upgraded if needed.This is not expensive! I bought cover immediately. I feel really happy with my cover and feel secure with this company.
I cannot recommend them highly enough.
Thank you  for looking after your customers so well and professionally.",I would recommend  to a friend,18,,,,
4,john,Male,65 or over,5,Claim review,excellent and very fair,NA,NA,4,NA,5,4,5,22/04/2014,Very prompt and fair handling of claim. A minor problem concerning late carpet delivery was quickly resolved,I would recommend  to a friend,18,,,,
5,rodent,Male,55 to 64,5,Buyer review,A Proper Job.,5,5,5,5,NA,NA,NA,22/04/2014,Very good and excellent value for money simple to use web site.,I would recommend  to a friend,18,,,,
6,wildon,Male,65 or over,4,Buyer review,Problem sorted,4,5,4,5,NA,NA,NA,22/04/2014,Have a perennial problem with home cover for my sisters house - bought by me from her as a private equity release some 16 years ago. Normal insurance for \my\ home not occupied by me has been difficult restrictive expensive or impossible.  took on board the problem quickly simply and inexpensively. This confirmed an excellent example when my stolen car keys were sorted (without charge) by my  car insurance. So though no experience of any of house claims yet (hopefully never) I feel very happy and comfortable with my purchase. Thank you . No connection other than as a satisfied customer.,I would recommend  to a friend,18,,,,
7,scoffas,Female,35 to 44,3,Claim review,disappointed with Asprea,NA,NA,1,NA,3,2,4,22/04/2014,I feel that my claim was delayed by the involvement and action (lack of) by Asprea,I would recommend  to a friend,18,,,,
8,monsoon23,NA,NA,5,Claim review,Speedy resolution,NA,NA,5,NA,4,5,5,22/04/2014,Every aspect of the claim was settled politely and efficiently. What you hope for with insurance claims but seldom seem to get,I would recommend  to a friend,18,,,,
9,Wilf,Female,45 to 54,3,Claim review,Lost stone from a ring.,NA,NA,4,NA,4,4,3,21/04/2014,Thank you that my claim has been sorted out but was a little shocked that I had a ﾣ200 excess on my claim which I should have checked clearly before taking out the policy. (so beware). The staff I spoke to were very friendly and dealt with my questions as efficiently as they could so talking to staff was a very positive experience. I had the ring listed as extra items but dont know what it would have been like if I hadnt. Hope you find this review helpful.,I would recommend  to a friend,18,,,,
10,Fencer,Male,65 or over,5,Claim review,Home contents claim,NA,NA,5,NA,5,5,5,21/04/2014,"Telephone claim. Helpful staff. Simple process. No paperwork. Money in bank within a matter of days.
Couldnt fault the system.",I would recommend  to a friend,18,,,,
